資料集名稱,檔案格式,下載連結,資料集類型,資料集描述,主要欄位說明,資料集提供機關,更新頻率,授權方式,授權說明網址,計費方式,編碼格式,資料集提供機關聯絡人,資料集提供機關聯絡人電話,備註
"行政院重大政策","xml","http://www.ey.gov.tw/Rss_News.aspx?n=3D06E532B0D8316C","rawData","提供行政院重大政策之訊息。","「主題」、「日期」、「連結」、「內容」。","行政院","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","洪先生","02-33568122",""
"各金融機構共通性費用資訊彙整表(銀行)","csv","http://www.ba.org.tw/normal-finance-4.aspx","rawData","提供各銀行主要業務具共通性收費項目之收費情形 ;本項資料係連結至銀行公會網站查詢，彙整揭示多數銀行收取費用之服務項目，並由該公會定期更新，僅供參考，相關資訊仍以各銀行公告為準，如有問題請逕洽各銀行查詢。","銀行名稱、收費項目、客戶服務專線、揭示費用網址","金融監督管理委員會","每季","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","謝小姐","02-89689711","本資料集為每季資料，彙整更新日約1、4、7、10月各月15日"
"各金融機構共通性費用資訊彙整表(信合社)","csv","http://www.nfcc.org.tw/showpage.php?page=consumer_commoncharge","rawData","提供各信合社主要業務具共通性收費項目之收費情形 ;本項資料係連結至信聯社網站查詢，彙整揭示多數信合社收取費用之服務項目，並由該社定期更新，僅供參考，相關資訊仍以各信合社公告為準，如有問題請逕洽各信合社查詢。","信合社名稱、收費項目、客戶服務專線、揭示費用網址  ","金融監督管理委員會","每季","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","謝小姐","02-89689711","本資料集為每季資料，彙整更新日約1、4、7、10月各月15日"
"公開發行公司股票發行概況統計表","csv","http://event.fsc.gov.tw/fsd/fncl_od.asp?opendata=FSF001","rawData","上市櫃公司及未上市櫃公司之家數、資本額、資本額成長率、面值、市值之統計","上市櫃公司及未上市櫃公司之家數、資本額、資本額成長率、面值、市值之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"公開發行公司股票發行概況統計表","olap","http://event.fsc.gov.tw/fsd/fncl_mp.asp","rawData","上市櫃公司及未上市櫃公司之家數、資本額、資本額成長率、面值、市值之統計","上市櫃公司及未上市櫃公司之家數、資本額、資本額成長率、面值、市值之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"上市公司資本變動統計表","csv","http://event.fsc.gov.tw/fsd/fncl_od.asp?opendata=FSF002","rawData","初次上市公司之家數、金額，上市公司現金增資、盈餘轉增資、資本公積轉增資、合併增資、減資、終止上市之家數、金額之統計","初次上市公司之家數、金額，上市公司現金增資、盈餘轉增資、資本公積轉增資、合併增資、減資、終止上市之家數、金額之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"上市公司資本變動統計表","olap","http://event.fsc.gov.tw/fsd/fncl_mp.asp","rawData","初次上市公司之家數、金額，上市公司現金增資、盈餘轉增資、資本公積轉增資、合併增資、減資、終止上市之家數、金額之統計","初次上市公司之家數、金額，上市公司現金增資、盈餘轉增資、資本公積轉增資、合併增資、減資、終止上市之家數、金額之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"上櫃公司資本變動統計表","csv","http://event.fsc.gov.tw/fsd/fncl_od.asp?opendata=FSF003","rawData","初次上櫃公司之家數、金額，上櫃公司現金增資、盈餘轉增資、資本公積轉增資、合併增資、減資、終止上櫃之家數、金額之統計","初次上櫃公司之家數、金額，上櫃公司現金增資、盈餘轉增資、資本公積轉增資、合併增資、減資、終止上櫃之家數、金額之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"上櫃公司資本變動統計表","olap","http://event.fsc.gov.tw/fsd/fncl_mp.asp","rawData","初次上櫃公司之家數、金額，上櫃公司現金增資、盈餘轉增資、資本公積轉增資、合併增資、減資、終止上櫃之家數、金額之統計","初次上櫃公司之家數、金額，上櫃公司現金增資、盈餘轉增資、資本公積轉增資、合併增資、減資、終止上櫃之家數、金額之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"興櫃股票發行及資本變動統計表","csv","http://event.fsc.gov.tw/fsd/fncl_od.asp?opendata=FSF004","rawData","興櫃股票初次登錄之家數、金額，興櫃股票現金增資、盈餘轉增資、資本公積轉增資、合併增資、減資、終止櫃檯買賣之家數、金額之統計","興櫃股票初次登錄之家數、金額，興櫃股票現金增資、盈餘轉增資、資本公積轉增資、合併增資、減資、終止櫃檯買賣之家數、金額之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"興櫃股票發行及資本變動統計表","olap","http://event.fsc.gov.tw/fsd/fncl_mp.asp","rawData","興櫃股票初次登錄之家數、金額，興櫃股票現金增資、盈餘轉增資、資本公積轉增資、合併增資、減資、終止櫃檯買賣之家數、金額之統計","興櫃股票初次登錄之家數、金額，興櫃股票現金增資、盈餘轉增資、資本公積轉增資、合併增資、減資、終止櫃檯買賣之家數、金額之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"債券發行概況表","csv","http://event.fsc.gov.tw/fsd/fncl_od.asp?opendata=FSF005","rawData","政府債券、金融債券、受益證券、普通公司債、附股權公司債、轉(交)換公司債、外國債券、國際債券之期數與淨額之統計","政府債券、金融債券、受益證券、普通公司債、附股權公司債、轉(交)換公司債、外國債券、國際債券之期數與淨額之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"債券發行概況表","olap","http://event.fsc.gov.tw/fsd/fncl_mp.asp","rawData","政府債券、金融債券、受益證券、普通公司債、附股權公司債、轉(交)換公司債、外國債券、國際債券之期數與淨額之統計","政府債券、金融債券、受益證券、普通公司債、附股權公司債、轉(交)換公司債、外國債券、國際債券之期數與淨額之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"公開發行公司海外有價證券發行概況統計表","csv","http://event.fsc.gov.tw/fsd/fncl_od.asp?opendata=FSF006","rawData","海外存託憑證發行新股參與發行、原有股東持股參與發行、海外公司債之核准件數、金額之統計","海外存託憑證發行新股參與發行、原有股東持股參與發行、海外公司債之核准件數、金額之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"公開發行公司海外有價證券發行概況統計表","olap","http://event.fsc.gov.tw/fsd/fncl_mp.asp","rawData","海外存託憑證發行新股參與發行、原有股東持股參與發行、海外公司債之核准件數、金額之統計","海外存託憑證發行新股參與發行、原有股東持股參與發行、海外公司債之核准件數、金額之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"集中市場認購(售)權證發行概況統計表","csv","http://event.fsc.gov.tw/fsd/fncl_od.asp?opendata=FSF007","rawData","集中市場認購(售)權證已取得發行人資格家數、新發行權證數、上市權證數、上市單位數、市值、成交量、成交值之統計","集中市場認購(售)權證已取得發行人資格家數、新發行權證數、上市權證數、上市單位數、市值、成交量、成交值之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"集中市場認購(售)權證發行概況統計表","olap","http://event.fsc.gov.tw/fsd/fncl_mp.asp","rawData","集中市場認購(售)權證已取得發行人資格家數、新發行權證數、上市權證數、上市單位數、市值、成交量、成交值之統計","集中市場認購(售)權證已取得發行人資格家數、新發行權證數、上市權證數、上市單位數、市值、成交量、成交值之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"證券投資信託基金發行概況表-依基金類型分類","csv","http://event.fsc.gov.tw/fsd/fncl_od.asp?opendata=FSF0091","rawData","投資國內外有價證券、投資國外貨幣市場、指數股票型在國內外募集之淨資產總值、基金數之統計","投資國內外有價證券、投資國外貨幣市場、指數股票型在國內外募集之淨資產總值、基金數之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"證券投資信託基金發行概況表-依基金類型分類","olap","http://event.fsc.gov.tw/fsd/fncl_mp.asp","rawData","投資國內外有價證券、投資國外貨幣市場、指數股票型在國內外募集之淨資產總值、基金數之統計","投資國內外有價證券、投資國外貨幣市場、指數股票型在國內外募集之淨資產總值、基金數之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"證券投資信託基金發行概況表-依基金投資標的分類","csv","http://event.fsc.gov.tw/fsd/fncl_od.asp?opendata=FSF0092","rawData","股票型、固定收益型、平衡型、組合型、指數股票型、保本型、指數型、不動產證券化型、貨幣市場基金之基金數及淨資產總值之統計","股票型、固定收益型、平衡型、組合型、指數股票型、保本型、指數型、不動產證券化型、貨幣市場基金之基金數及淨資產總值之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"證券投資信託基金發行概況表-依基金投資標的分類","olap","http://event.fsc.gov.tw/fsd/fncl_mp.asp","rawData","股票型、固定收益型、平衡型、組合型、指數股票型、保本型、指數型、不動產證券化型、貨幣市場基金之基金數及淨資產總值之統計","股票型、固定收益型、平衡型、組合型、指數股票型、保本型、指數型、不動產證券化型、貨幣市場基金之基金數及淨資產總值之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"證券投資信託基金發行概況表-境外基金國人投資概況","csv","http://event.fsc.gov.tw/fsd/fncl_od.asp?opendata=FSF0093","rawData","股票型、固定收益型、平衡型、貨幣型、組合型、指數股票型(ETF)、其他之基金數及國內投資人持有金額之統計","股票型、固定收益型、平衡型、貨幣型、組合型、指數股票型(ETF)、其他之基金數及國內投資人持有金額之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"證券投資信託基金發行概況表-境外基金國人投資概況","olap","http://event.fsc.gov.tw/fsd/fncl_mp.asp","rawData","股票型、固定收益型、平衡型、貨幣型、組合型、指數股票型(ETF)、其他之基金數及國內投資人持有金額之統計","股票型、固定收益型、平衡型、貨幣型、組合型、指數股票型(ETF)、其他之基金數及國內投資人持有金額之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"集中市場證券總成交值概況表","csv","http://event.fsc.gov.tw/fsd/fncl_od.asp?opendata=FSF010","rawData","集中市場證券總成交值、成長率、成交筆數，包括股票、指數股票型基金、封閉式基金、受益證券、認購(售)權證、臺灣存託憑證、公債、普通公司債、轉換公司債之金額之統計","集中市場證券總成交值、成長率、成交筆數，包括股票、指數股票型基金、封閉式基金、受益證券、認購(售)權證、臺灣存託憑證、公債、普通公司債、轉換公司債之金額之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"集中市場證券總成交值概況表","olap","http://event.fsc.gov.tw/fsd/fncl_mp.asp","rawData","集中市場證券總成交值、成長率、成交筆數，包括股票、指數股票型基金、封閉式基金、受益證券、認購(售)權證、臺灣存託憑證、公債、普通公司債、轉換公司債之金額之統計","集中市場證券總成交值、成長率、成交筆數，包括股票、指數股票型基金、封閉式基金、受益證券、認購(售)權證、臺灣存託憑證、公債、普通公司債、轉換公司債之金額之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"店頭市場證券總成交值概況表","csv","http://event.fsc.gov.tw/fsd/fncl_od.asp?opendata=FSF011","rawData","店頭市場證券總營業金額/總成交值、成長率，包括股票、認購(售)權證、債券-買賣斷、債券-附條件之營業金額/成交金額之統計","店頭市場證券總營業金額/總成交值、成長率，包括股票、認購(售)權證、債券-買賣斷、債券-附條件之營業金額/成交金額之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"店頭市場證券總成交值概況表","olap","http://event.fsc.gov.tw/fsd/fncl_mp.asp","rawData","店頭市場證券總營業金額/總成交值、成長率，包括股票、認購(售)權證、債券-買賣斷、債券-附條件之營業金額/成交金額之統計","店頭市場證券總營業金額/總成交值、成長率，包括股票、認購(售)權證、債券-買賣斷、債券-附條件之營業金額/成交金額之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"集中市場股票交易概況表","csv","http://event.fsc.gov.tw/fsd/fncl_od.asp?opendata=FSF012","rawData","集中市場股票交易總成交值、成交量、日平均值、交易日數、交易所股價指數(月平均)、交易人數之統計","集中市場股票交易總成交值、成交量、日平均值、交易日數、交易所股價指數(月平均)、交易人數之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"集中市場股票交易概況表","olap","http://event.fsc.gov.tw/fsd/fncl_mp.asp","rawData","集中市場股票交易總成交值、成交量、日平均值、交易日數、交易所股價指數(月平均)、交易人數之統計","集中市場股票交易總成交值、成交量、日平均值、交易日數、交易所股價指數(月平均)、交易人數之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"店頭市場股票交易概況表","csv","http://event.fsc.gov.tw/fsd/fncl_od.asp?opendata=FSF013","rawData","店頭市場股票交易之總成交值、總成交量、日平均值、交易日數、股價指數(月平均)、投資人累積開戶數(戶)／交易人數之統計","店頭市場股票交易之總成交值、總成交量、日平均值、交易日數、股價指數(月平均)、投資人累積開戶數(戶)／交易人數之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"店頭市場股票交易概況表","olap","http://event.fsc.gov.tw/fsd/fncl_mp.asp","rawData","店頭市場股票交易之總成交值、總成交量、日平均值、交易日數、股價指數(月平均)、投資人累積開戶數(戶)／交易人數之統計","店頭市場股票交易之總成交值、總成交量、日平均值、交易日數、股價指數(月平均)、投資人累積開戶數(戶)／交易人數之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"外資投入我國股市概況表","csv","http://event.fsc.gov.tw/fsd/fncl_od.asp?opendata=FSF021","rawData","境外外國機構投資人(FINI)、境外華僑及外國自然人(FIDI)之申請登記件數、完成登記件數、累積匯入淨額之統計","境外外國機構投資人(FINI)、境外華僑及外國自然人(FIDI)之申請登記件數、完成登記件數、累積匯入淨額之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp"
"外資投入我國股市概況表","olap","http://event.fsc.gov.tw/fsd/fncl_mp.asp","rawData","境外外國機構投資人(FINI)、境外華僑及外國自然人(FIDI)之申請登記件數、完成登記件數、累積匯入淨額之統計","境外外國機構投資人(FINI)、境外華僑及外國自然人(FIDI)之申請登記件數、完成登記件數、累積匯入淨額之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp"
"證券服務事業家數統計表","csv","http://event.fsc.gov.tw/fsd/fncl_od.asp?opendata=FSF023","rawData","證券服務事業之家數包括證券商、經紀商、自營商、承銷商、投資信託、投資顧問之統計","證券服務事業之家數包括證券商、經紀商、自營商、承銷商、投資信託、投資顧問之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"證券服務事業家數統計表","olap","http://event.fsc.gov.tw/fsd/fncl_mp.asp","rawData","證券服務事業之家數包括證券商、經紀商、自營商、承銷商、投資信託、投資顧問之統計","證券服務事業之家數包括證券商、經紀商、自營商、承銷商、投資信託、投資顧問之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"證券商之資產總額、資本、淨值、損益、資產報酬率及淨值報酬率之比較","csv","http://event.fsc.gov.tw/fsd/fncl_od.asp?opendata=FSF029","rawData","證券商之資產總額、資本、淨值、損益、資產報酬率及淨值報酬率之比較","證券商之資產總額、資本、淨值、損益、資產報酬率及淨值報酬率之比較","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"證券商之資產總額、資本、淨值、損益、資產報酬率及淨值報酬率之比較","olap","http://event.fsc.gov.tw/fsd/fncl_mp.asp","rawData","證券商之資產總額、資本、淨值、損益、資產報酬率及淨值報酬率之比較","證券商之資產總額、資本、淨值、損益、資產報酬率及淨值報酬率之比較","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"國人從事國外期貨交易統計表","csv","http://event.fsc.gov.tw/fsd/fncl_od.asp?opendata=FSF046","rawData","國人從事國外期貨交易包括美國、英國、日本、香港、新加坡、其他國家之買進、賣出之統計表","國人從事國外期貨交易包括美國、英國、日本、香港、新加坡、其他國家之買進、賣出之統計表","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"國人從事國外期貨交易統計表","olap","http://event.fsc.gov.tw/fsd/fncl_mp.asp","rawData","國人從事國外期貨交易包括美國、英國、日本、香港、新加坡、其他國家之買進、賣出之統計表","國人從事國外期貨交易包括美國、英國、日本、香港、新加坡、其他國家之買進、賣出之統計表","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"期貨信託基金發行概況表－依基金投資標的分類","csv","http://event.fsc.gov.tw/fsd/fncl_od.asp?opendata=FSF047","rawData","期貨信託基金發行概況表包括組合型、保本型、一般型之基金數、淨資產價值之統計","期貨信託基金發行概況表包括組合型、保本型、一般型之基金數、淨資產價值之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"期貨信託基金發行概況表－依基金投資標的分類","olap","http://event.fsc.gov.tw/fsd/fncl_mp.asp","rawData","期貨信託基金發行概況表包括組合型、保本型、一般型之基金數、淨資產價值之統計","期貨信託基金發行概況表包括組合型、保本型、一般型之基金數、淨資產價值之統計","金融監督管理委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-27747248","金融市場統計資訊公開查詢網站（提供API查詢及資料下載服務）  http://event.fsc.gov.tw/fsd/fncl_mp.asp  "
"全國各縣市有線廣播電視基本頻道收視費用","csv","http://www.ncc.gov.tw/chinese/files/opendata/20130315cable.csv","rawData","有線廣播電視基本頻道收視費用","[縣市別]、[收視費用]","國家通訊傳播委員會","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-33437314",""
"電信設備審驗合格清單","csv","http://www.ncc.gov.tw/chinese/files/opendata/vv_IPCCDB.csv","rawData","電信設備審驗合格清單","[設備種類],[西元年度後二位],[審定證明編號],[填報貿易e網的認證號碼],[設備名稱],[廠牌],[型號],[申請廠商],[製造廠商],[驗證機構],[SAR值],[拍照功能],[拍照時發出聲響功能],[充電器],[電池],[審驗日期],[出具檢驗報告之測試實驗室],[測試實驗室所屬國家]","國家通訊傳播委員會","每半年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","謝先生","02-23433801",""
"廣播電臺節目表","csv","http://www.ncc.gov.tw/chinese/files/opendata/radio.csv","rawData","無線廣播電臺每月節目時間表，包含公營、跨區、調幅及基隆等分區21個子項，共171家電臺。","[電臺名稱], [頻率],[播出時間],[節目名稱],[每週播出日],[新聞政令宣導],[教育文化],[公共服務],[大眾娛樂],[國語],[台語],[其他],[自製],[外製],[委製],[轉播],[聯播],[主播電臺],[節目製作人],[節目主持人]","國家通訊傳播委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","吳先生","02-23433822",""
"公眾頻率分配","csv","http://www.ncc.gov.tw/chinese/files/opendata/Frequency.csv","rawData","行動通信業務頻率分配","[業務名稱],[頻段起迄],[單位]","國家通訊傳播委員會","每半年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","鄭先生","02-23433854",""
"國家通訊傳播委員會職員性別/學歷統計報表","csv","http://www.ncc.gov.tw/chinese/files/opendata/educational.csv","rawData","統計本會職員性別/學歷","[研究院（所）],[大學（含軍警校有學位者）],[專科],[高中（職）（含師範）],[國（初）中以下及其他],[男],[女]        ","國家通訊傳播委員會","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","鄧先生","02-23433835",""
"國家通訊傳播委員會職員性別/考試情形統計報表","csv","http://www.ncc.gov.tw/chinese/files/opendata/passing.csv","rawData","統計本會職員性別/考試情形","[高　考],[普　考],[特　考],[其他考試],[依其他法令進用人數],[男],[女]  ","國家通訊傳播委員會","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","鄧先生","02-23433835",""
"國家通訊傳播委員會職員、各官等人員性別統計表","csv","http://www.ncc.gov.tw/chinese/files/opendata/gender.csv","rawData","統計本會職員、各官等人員性別","[主管],[非主管],[特任],[比照簡任],[簡任(派)],[薦任(派)],[委任(派)],[男],[女]","國家通訊傳播委員會","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","鄧先生","02-23433835",""
"國家通訊傳播委員會正式編制內職員性別/官等統計","csv","http://www.ncc.gov.tw/chinese/files/opendata/official.csv","rawData","統計本會正式編制內職員性別/官等","[簡任],[薦任],[委任],[比例（%）],[男],[女]","國家通訊傳播委員會","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","鄧先生","02-23433835",""
