產地,主旨,原因,進口商名稱,進口商地址,貨品分類號列,不合格原因暨檢出量詳細說明,法規限量標準,製造廠或出口商名稱,製造商代碼,牌名,重量,處置情形,發布日期,報驗受理日期,附圖
"美國","TILLAMOOK 瑞士乾酪片 340公克(300248952 TILLAM SLICED SWISS CHEESE)","防腐劑含量不符規定","遠東都會股份有限公司","台北市大安區仁愛路四段68號7樓","0406.90.00.00.1","檢出防腐劑(以丙酸計3.7 g/kg)","依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用食品範圍，本案不符合食品安全衛生管理法第18條規定。","TILLAMOOK COUNTY CREAMERY ASSOCIATION","","TILLAMOOK","4.08","案內不符合商品依規定退運或銷毀。","2015-01-27","2014-09-26","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3899&type=unsafefood"
"印度","印度純椰子油(20 CTN COCONUT OIL)","真菌毒素含量不符規定","駱洋股份有限公司","臺北市大安區仁愛路三段143巷23號6樓","1513.19.00.00.7","檢出總黃麴毒素13 ppb","依據「食品中真菌毒素限量標準」，黃麴毒素限量為10 ppb，本案不符合食品安全衛生管理法第17條規定。","FINEDAY FOODS, COCHIN, KERALA, INDIA.","","HOMECHEF","240","案內不符合商品依規定退運或銷毀。","2015-01-27","2014-12-23","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3900&type=unsafefood"
"泰國","紅豆(RED BEANS (DRIED))","殘留農藥含量不符規定","年農貿易有限公司","臺南市新營區復興路803巷24弄22號","9808.00.00.20.2","檢出殘留農藥撲滅寧0.14 ppm","依據「農藥殘留容許量標準」，農藥撲滅寧限值為0.02 ppm，本案不符合食品安全衛生管理法第15條規定。","SERM WIN INDUSTRY CO., LTD.","","SW","21,564","案內不符合商品依規定退運或銷毀。","2015-01-27","2014-12-23","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3901&type=unsafefood"
"泰國","KIRKALND SIGNATURE 科克蘭泰國香米(860930 KIRKALND SIGNATURE JASMINE RICE)","殘留農藥含量不符規定","好市多股份有限公司","高雄市前鎮區中華五路656號1樓","9825.13.00.12.6","檢出殘留農藥硫敵克0.13 ppm","依據「農藥殘留容許量標準」，農藥硫敵克限值為0.02 ppm，本案不符合食品安全衛生管理法第15條規定。","BANKOK RICE CO., LTD.","","KIRKALND SIGNATURE","9,185","案內不符合商品依規定退運或銷毀。","2015-01-27","2014-12-26","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3902&type=unsafefood"
"日本","伊氏毛甲蟹","重金屬含量不符規定","上心貿易有限公司","台北市中山區農安街32號8樓-8","0306.24.29.19-9","本案經檢出重金屬鎘2.2 ppm","依甲殼類重金屬鎘限量標準為0.5 ppm","LONG DE TRADE CO., LTD","","LONG DE TRADE CO., LTD","283.58","本案經檢出重金屬鎘2.2 ppm","2012-08-21","2012-07-28","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2297&type=unsafefood"
"日本","伊氏毛甲蟹","重金屬含量不符規定","上心貿易有限公司","台北市中山區農安街32號8樓-8","0306.24.29.19-9","本案經檢出重金屬鎘0.7 ppm","依甲殼類重金屬鎘限量標準為0.5 ppm","LONG DE TRADE CO., LTD","","LONG DE TRADE CO., LTD","163.28","案內不合格商品依規定退運或銷毀。","2012-08-21","2012-07-30","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2298&type=unsafefood"
"中國大陸","枸杞","殘留農藥含量不符規定","中冬金元中藥行","高雄市鼓山區大順一路909巷8號","1211.90.91.10-2","檢出農藥毆蟎多(Propargite) 0.07 ppm","本案依農藥歐蟎多非准用農藥，不得檢出。","FOSHAN LITENG ECONOMY & TRADE CO., LTD","","FOSHAN LITENG ECONOMY & TRADE","1,978.8","案內不合格商品依規定退運或銷毀。","2012-08-21","2012-07-27","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2299&type=unsafefood"
"中國大陸","冷凍桂花魚","動物用藥殘留不符規定","永義企業有限公司","台北市松山區敦化北路155巷3號2樓","0303.79.99.99-4","檢出還原型孔雀綠 1.549 ppb","本案依動物用藥殘留標準還原型孔雀綠為不得檢出","XIAMEN FUTUREFOOD IMPORT&EXPORT CO., LTD","","","871","案內不合格商品依規定退運或銷毀。","2012-08-21","2012-07-24","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2300&type=unsafefood"
"日本","綠茶","殘留農藥含量不符規定","盛裕貿易有限公司","新北市三重區重安街28-1號2樓","2101.20.00.00-0","檢出殘留農藥祿芬隆0.08ppm;得福隆0.09ppm。","本案依農藥祿芬隆及得福隆茶類限量標準0.05 ppm。","TSUBOICHI製茶本舖株式會社","","TSUBOICHI","128","案內不合格商品依規定退運或銷毀。","2012-08-21","2012-07-24","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2301&type=unsafefood"
"菲律賓","活蟳","動物用藥殘留不符規定","烸狸企業有限公司","台北市松山區南京東路3段346之9號8樓","0306.24.21.10-6","檢出動物用藥四環黴素類-脫氧羥四環黴素84 ppb","案內產品依「動物用藥殘留標準」為不得檢出。","RAINBOW CONNECTION","","RAINBOW CONNECTION","58","案內不合格產品依規定退運或銷毀。","2012-08-21","2012-07-28","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2302&type=unsafefood"
"中國大陸","冷凍白蝦仁","動物用藥殘留不符規定","喜寶貿易有限公司","新北市土城區金城路3段182號19樓","0306.13.00.40-8","檢出Quinolone類-磺胺甲基噁唑(sulfamethoxazole)0.031 ppm;西氟沙星(ciprofloxacin)0.003 ppm;恩氟奎林羧酸(Enrofloxacin)0.055 ppm","案內產品依「動物用藥殘留標準」為不得檢出。","DONGSHAN TIANYUAN AQUATIC FOODSTUFF CO., LTD.","","","20,000","案內不合格產品依規定退運或銷毀。","2012-08-21","2012-07-25","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2303&type=unsafefood"
"中國大陸","枸杞","殘留農藥含量不符規定","喬碩蔘藥行","臺北市大同區重慶北路2段48號10樓之1","1211.90.91.10-2","檢出農藥三落松0.06 ppm;毆蟎多0.02 ppm 。","本案依農藥三落松果菜類限量0.02 ppm，農藥歐蟎多非准用農藥，不得檢出。","SHENZHEN RAOJIN TRADING CO., LTD.","","","4,257.6","案內不合格商品依規定退運或銷毀。","2012-08-21","2012-07-11","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2304&type=unsafefood"
"美國","罐裝櫻桃","防腐劑含量不符規定","廣紘國際股份有限公司","臺北市內湖區民權東路6段262號3樓","2008.60.00.00-5","檢出含有防腐劑苯甲酸0.57 g/kg及己二烯酸0.93 g/kg","防腐劑苯甲酸及己二烯酸糖漬果實類限量1.0g/kg，防腐劑之「使用量/糖漬果實類用量標準」所得之數值總和為1.50(依規定不得大於1)，判定不合格。","PENNANT FRUIT PRODUCTS","","PENNANT","12.6","案內不合格商品依規定退運或銷毀。","2012-08-21","2012-07-24","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2305&type=unsafefood"
"中國大陸","鮮辣椒","殘留農藥含量不符規定","澎雲企業有限公司","雲林縣北港鎮新街里穎寧街１３號 (651)","0709.60.00.00-1","檢出農藥待克利0.11 ppm","本案未列於農藥待克利准用範圍，不得檢出。","YUNNAN NONGXIN AGRICULTURAL DEVELOPMENT CO., LTD","","","17,500","案內不合格商品依規定退運或銷毀。","2012-08-21","2012-07-27",""
"泰國","蘆筍(FRESH ASPARAGUS)","殘留農藥含量不符規定","柏翊企業有限公司","臺北市中山區建國北路二段110號6樓","0709.20.00.20.6","檢出殘留農藥陶斯松0.1 ppm、克凡派0.03 ppm","依據「農藥殘留容許量標準」，農藥陶斯松容許量為0.05 ppm、克凡派限值為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","TRIPLE M TRADING CO.,LTD.","","TRIPLE M TRADING CO.,LTD.","565","案內不符合商品依規定已於2015年1月8日完成銷毀。","2015-01-27","2014-12-29","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3903&type=unsafefood"
"日本","萬能蔥(FRESH BANNOUNEGI (YAKKONEGI))","殘留農藥含量不符規定","瑞陞國際有限公司","台北市松山區南京東路五段336號7樓之3","0703.90.00.00.1","檢出殘留農藥達特南0.03 ppm、滅派林1.94 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","LONG DE TRADE CO., LTD.","高知","LONG DE TRADE CO., L","3","案內不符合商品依規定退運或銷毀。","2015-01-27","2014-12-29","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3904&type=unsafefood"
"日本","生鮮冷藏蔥(FRESH YAKKONEGI)","殘留農藥含量不符規定","富帆商店","新北市中和區建康路252號1樓","0703.90.00.00.1","檢出殘留農藥脫芬瑞0.05 ppm、達特南0.1 ppm","依據「農藥殘留容許量標準」，農藥脫芬瑞限值為0.01 ppm、達特南為不得檢出，本案不符合食品安全衛生管理法第15條規定。","LONG DE TRADE CO., LTD.","高知","LONG DE TRADE CO., LTD.","3.9","案內不符合商品依規定退運或銷毀。","2015-01-27","2014-12-29","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3905&type=unsafefood"
"美國","蘿蔓綜合生菜(盒)(ROMAINE MIX)","重金屬含量不符規定","尚農實業有限公司","新北市中和區景平路722號11樓","0709.99.90.90.8","檢出鎘0.2 ppm","依據「蔬果植物類重金屬限量標準」，(半)結球及花菜類等蔬菜類鎘限量為0.05 ppm，本案不符合食品安全衛生管理法第17條規定。","AGRI-PACIFIC INT’L TRADING CORP.","","AGRI-PACIFIC INT’L TRADING CORP.","16.2","案內不符合商品依規定退運或銷毀。","2015-01-27","2015-01-01","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3906&type=unsafefood"
"美國","芝麻菜生菜(盒)(ARUGULA)","殘留農藥含量不符規定","尚農實業有限公司","新北市中和區景平路722號11樓","0709.99.90.90.8","檢出殘留農藥滅芬諾0.06 ppm","依據「農藥殘留容許量標準」，農藥滅芬諾限值為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","AGRI-PACIFIC INT’L TRADING CORP.","","AGRI-PACIFIC INT’L TRADING CORP.","20.7","案內不符合商品依規定退運或銷毀。","2015-01-27","2015-01-01","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3907&type=unsafefood"
"日本","保存容器(4973430406833PLASTIC CONTAINER WIDE TYPE M)","其它衛生項目不符規定(其他衛生項目不符規定)","台灣大創百貨股份有限公司","台北市中山區南京西路1號5樓之7","3924.10.00.20-1","耐熱測試結果有異狀(變形)","案內產品「耐熱溫度」與現品標示不符，本案不符合食品安全衛生管理法第28條規定。","大創產業株式會社","廣島","DAISO","8.18","案內不符合商品依規定退運或銷毀。","2015-05-19","2015-03-09","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4317&type=unsafefood"
"日本","柑橘(FRESH CITRON(YUZU))","殘留農藥含量不符規定","吉香企業社","臺北市中山區松江路140巷6之2號","0805.90.00.00-8","檢出殘留農藥白克列0.06 ppm","依據「農藥殘留容許量標準」，農藥白克列限值為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","YUFONG TRADING CO., LTD.","高知","YUFONG TRADING CO.,","11.00","案內不符合商品依規定退運或銷毀。","2016-01-19","2015-12-21","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5081&type=unsafefood"
"以色列","百里香(THYME)","殘留農藥含量不符規定","佳藍園藝工程有限公司","台北巿南京西路362號1樓","0709.99.90.90-8","檢出殘留農藥樂滅草0.02 ppm","依據「農藥殘留容許量標準」，農藥樂滅草限值為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","NEW GREEN OVERSEAS B.V","","NEW GREEN OVERSEAS B.V","10.00","案內不符合商品依規定退運或銷毀。","2016-01-19","2015-12-23","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5082&type=unsafefood"
"日本","鮮蜜瓜(FRESH MELON)","殘留農藥含量不符規定","梅村水菓有限公司","台北市中正區開封街一段77號","0807.19.10.00-2","檢出殘留農藥依普同0.06 ppm","依據「農藥殘留容許量標準」，農藥依普同限值為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","MEIKO","高知","MEIKO","46.90","案內不符合商品依規定退運或銷毀。","2016-01-19","2015-12-24","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5083&type=unsafefood"
"日本","義大利麵盒(4973430401487PASTA CASE)","其它衛生項目不符規定(其他衛生項目不符規定)","台灣大創百貨股份有限公司","台北市中山區南京西路1號5樓之7","3924.10.00.20-1","耐熱測試結果有異狀(變形)","案內產品「耐熱溫度」與現品標示不符，本案不符合食品安全衛生管理法第28條規定。","大創產業株式會社","廣島","DAISO","7.56","案內不符合商品依規定退運或銷毀。","2015-05-19","2015-03-09","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4318&type=unsafefood"
"日本","保存容器(4973430400619PLASTIC FOOD CONTAINER SQUARE 1700)","其它衛生項目不符規定(其他衛生項目不符規定)","台灣大創百貨股份有限公司","台北市中山區南京西路1號5樓之7","3924.10.00.20-1","耐熱測試結果有異狀(變形)","案內產品「耐熱溫度」與現品標示不符，本案不符合食品安全衛生管理法第28條規定。","大創產業株式會社","廣島","DAISO","10.5","案內不符合商品依規定退運或銷毀。","2015-05-19","2015-03-09","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4319&type=unsafefood"
"日本","保存容器(4973430402125 1000ML FISH STORAGE PACK)","其它衛生項目不符規定(其他衛生項目不符規定)","台灣大創百貨股份有限公司","台北市中山區南京西路1號5樓之7","3924.10.00.20-1","耐熱測試結果有異狀(變形)","案內產品「耐熱溫度」與現品標示不符，本案不符合食品安全衛生管理法第28條規定。","大創產業株式會社","廣島","DAISO","5.15","案內不符合商品依規定退運或銷毀。","2015-05-19","2015-03-09","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4320&type=unsafefood"
"美國","生蠔","微生物含量不符規定","利南企業有限公司","臺北市中山區松江路３號４樓之４","0307.10.19.00-7","檢出腸炎弧菌9.2 MPN/g","依食品衛生管理法第11條第1項第4款(染有病原菌)，不得檢出。","OREGON OYSTER FARMS, INC.","","OREGON OYSTER FARMS, INC.","1,654","案內不合格商品依規定退運或銷毀。","2012-08-28","2012-07-26","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2307&type=unsafefood"
"印尼","特味蒜頭辣椒醬","甜味劑含量不符規定","呷尚寶興業股份有限公司","新北市土城區永豐路195巷18號1樓","2103.90.90.90-5","案內產品檢出糖精0.01 g/kg及環己基(代)磺醯胺酸0.14 g/kg","本案未列於糖精及環己基(代)磺醯胺酸准用範圍，不得檢出。","TOM MALANG INDONESIA","","呷尚寶JSP","2,376","案內不合格產品依規定退運或銷毀。","2012-08-28","2012-07-27","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2308&type=unsafefood"
"泰國","活旭蟹","重金屬含量不符規定","宥心貿易有限公司","桃園縣桃園市富國路642之1號","0306.24.29.19-9","本批貨品經檢出重金屬鎘11.1 ppm","依甲殼類重金屬限量標準，限量為0.5 ppm","YUAN-1 CO., LTD","","YUAN-1 CO., LTD","294","案內不合格商品依規定退運或銷毀。","2012-08-28","2012-08-10","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2312&type=unsafefood"
"越南","花生","黃麴毒素含量不符規定","春林開發貿易有限公司","台北市忠孝東路五段17號11樓之1","9807.20.00.10-1","本批貨品經檢出黃麴毒素B1-231.3ppb及黃麴毒素B2-27ppb","本案依食品中真菌毒素限量標準總黃麴毒素限量15 ppb","VIET PHU IMEXCO., LTD.","","VIET PHU IMEXCO., LTD.","52,080","案內不合格產品依規定退運或銷毀。","2012-08-28","2012-08-01","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2313&type=unsafefood"
"印尼","波紋龍蝦","重金屬含量不符規定","綠濤石有限公司","高雄市左營區南屏路250之1號3樓","0306.21.11.10-1","本批貨品經檢出重金屬鎘0.69 ppm","依甲殼類重金屬鎘限量標準為0.5 ppm","PT. RUNA EKA JAYA","","PT. RUNA EKA JAYA","356","案內不合格商品依規定退運或銷毀。","2012-08-28","2012-08-10","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2314&type=unsafefood"
"加拿大(產地美國)","活生蠔","微生物含量不符規定","守一國際有限公司","桃園縣平鎮市快速路2段616巷219號1樓","0307.10.19.00-7","檢出腸炎弧菌1100 MPN/g","依食品衛生管理法第11條第1項第4款(染有病原菌)，不得檢出。","MANDARINA","","MANDARINA","368","案內不合格商品依規定退運或銷毀。","2012-09-04","2012-08-10","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2315&type=unsafefood"
"美國","鮮桃","殘留農藥含量不符規定","百益貿易有限公司","臺中市南屯區大昌街465巷4號1樓","0809.30.00.10-5","檢出殘留農藥護汰寧5.73 ppm","依「殘留農藥安全容許量標準」農藥護汰寧桃類限量標準為5 ppm。","CAL-EX TRADING CO., INC.","","CAL-EX TRADING CO., INC.","2,817","案內不合格商品依規定退運或銷毀。","2012-09-04","2012-08-09","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2316&type=unsafefood"
"日本","(SONTON 香烤洋蔥吐司醬)(BUTTER PASTE (SONTON 香烤洋蔥吐司醬))","抗氧化劑含量不符規定","裕毛屋企業股份有限公司","臺中巿公益路150、152號1樓","1517.10.00.00-2","檢出抗氧化劑(以二丁基羥基甲苯計0.16 g/kg)，推算於油脂中為0.25 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，抗氧化劑以二丁基羥基甲苯計用量為0.20 g/kg，不符合食品衛生管理法第18條規定。","SONTON食品工業株式會社","東京","SONTON","1.4","案內不合格商品依規定退運或銷毀。","2013-12-03","2013-11-04","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3005&type=unsafefood"
"中國大陸","綠茶萃取物(GREEN TEA EXTRACT)","殘留農藥含量不符規定","元弘草本科研有限公司","臺中市北區崇德路一段631號14樓之2","1302.19.90.00.3","檢出殘留農藥安殺番0.11 ppm","依據「殘留農藥安全容許量標準」規定，農藥安殺番容許量為0.05 ppm，不符合食品衛生管理法第15條規定。","XI’AN GREEN LIFE CO LTD","","XI’AN GREEN LIFE","25","案內不合格商品依規定退運或銷毀。","2013-12-03","2013-11-05","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3006&type=unsafefood"
"美國","鮮葡萄(FRESH GRAPES VARIETY: CRIMSON N.W.: 19 LBR/CTN)","殘留農藥含量不符規定","新鮮貿易有限公司","臺北市中山區中山北路三段34號12樓","0806.10.00.00.4","檢出殘留農藥滅芬諾0.19 ppm","不符合食品衛生管理法第15條「殘留農藥安全容許量標準」規定","ORION PACIFIC TRADERS, INC","USCFJ","HONEYBUNCH","12,928","案內不合格商品依規定退運或銷毀。","2013-12-03","2013-11-05","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3007&type=unsafefood"
"日本","生鮮冷藏紫蘇葉(FRESH OOBA)","殘留農藥含量不符規定","富帆貿易有限公司","新北市中和區建康路252號2樓","0709.90.90.90.7","檢出殘留農藥氟尼胺1.38 ppm","不符合食品衛生管理法第15條「殘留農藥安全容許量標準」規定","LONG DE","愛知","LONG DE","6","案內不合格商品依規定退運或銷毀。","2013-12-03","2013-11-08","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3008&type=unsafefood"
"日本","長谷川煎茶(12包入)(4976669001183 JAPANESE GREEN TEA)","殘留農藥含量不符規定","日藥本舖股份有限公司","台北市中山區松江路295號,295之4號","0902.10.00.00-7","檢出殘留農藥賽果培0.27 ppm","本案不符合食品衛生管理法第15條有關「殘留農藥安全容許量標準」規定","長谷川商店株式會社","兵庫","HASEGAWA","7.2","案內不合格商品依規定退運或銷毀。","2013-12-11","2013-10-08","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3009&type=unsafefood"
"義大利","阿勃瑞歐義大利米(白米)(RI10850 RISO ARBORIO)","殘留農藥含量不符規定","聯馥食品股份有限公司","臺北市北投區立功街77號","9825.13.00.12-6","檢出殘留農藥護汰芬 0.04 ppm","依據「殘留農藥安全容許量標準」規定，農藥護汰芬容許量為0.01 ppm，本案不符合食品衛生管理法第15條規定。","F. LLI DE CECCO DI FILIPPO FARA S. MARTINO S.P.A.","","DE CECCO","1,320","案內不合格商品依規定退運或銷毀。","2013-12-11","2013-11-05","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3010&type=unsafefood"
"日本","白蓮綠茶(蛋糕加工用)(GREEN TEA POWDER)","殘留農藥含量不符規定","柏諾食品有限公司","新北市三重區光華路46號","2101.20.00.00-0","檢出殘留農藥賽果培1.16 ppm","本案不符合食品衛生管理法第15條有關「殘留農藥安全容許量標準」規定","株式會社丸久小山園","京都","","30","案內不合格商品依規定退運或銷毀。","2013-12-11","2013-11-11","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3012&type=unsafefood"
"日本","生鮮冷藏紫蘇葉(FRESH OOBA)","殘留農藥含量不符規定","富帆貿易有限公司","新北市中和區建康路252號2樓","0709.90.90.90-7","檢出殘留農藥氟尼胺0.58 ppm","本案不符合食品衛生管理法第15條有關「殘留農藥安全容許量標準」規定","LONG DE","愛知","LONG DE","6","案內不合格商品依規定退運或銷毀。","2013-12-11","2013-11-12","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3013&type=unsafefood"
"法國","薰衣草茶(INF20006PCLDP INF. CIRCULATION SAVEUR LAVANDER)","殘留農藥含量不符規定","逸陽企業有限公司","高雄市前鎮區沱江街9號1樓","2106.90.99.90-3","檢出殘留農藥白克列0.07 ppm","本案不符合食品衛生管理法第15條有關「殘留農藥安全容許量標準」規定","LA DROME PROVENCALE","","LA DROME","2.88","案內不合格商品依規定退運或銷毀。","2013-12-11","2013-11-13","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3014&type=unsafefood"
"日本","生鮮冷藏紫蘇葉(FRESH OOBA)","殘留農藥含量不符規定","富帆貿易有限公司","新北市中和區建康路252號2樓","0709.90.90.90-7","檢出殘留農藥得克利0.17 ppm、氟尼胺0.13 ppm","依據「殘留農藥安全容許量標準」規定，農藥得克利容許量為0.01 ppm、氟尼胺為不得檢出，本案不符合食品衛生管理法第15條規定。","LONG DE","愛知","LONG DE","6","案內不合格商品依規定退運或銷毀。","2013-12-11","2013-11-15","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3015&type=unsafefood"
"法國","乾牛肝菌菇(DRIED CEPES EXTRA)","殘留農藥含量不符規定","聯馥食品股份有限公司","臺北市北投區立功街77號","0712.39.90.00.5","檢出殘留農藥安丹0.10 ppm","依據「殘留農藥安全容許量標準」規定，農藥安丹限值為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","SABAROT","","SABAROT","360","案內不符合商品依規定退運或銷毀。","2014-07-15","2014-06-06","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3401&type=unsafefood"
"德國","德國羅仕曼綜合維他命+礦物質發泡錠(芒果口味)(ALTAPHARMA BRAUSETABLETTEN MULTIVITAMIN + MINERAL)","甜味劑含量不符規定","寶賀貿易有限公司","臺北市士林區延平北路六段384號10樓之2","2106.90.99.90.3","檢出甜味劑糖精2.9 g/kg、環己基(代)磺醯胺酸7.5 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，甜味劑以糖精計用量為1.2 g/kg、以環己基(代)磺醯胺酸計用量為1.25 g/kg，且混合使用甜味劑時，每一種甜味劑之使用量除以其用量標準所得之數值總和不得大於1，本案不符合食品安全衛生管理法第18條規定。","ROSSMANN GMBH","","ROSSMANN","19.98","案內不符合商品依規定退運或銷毀。","2014-07-15","2014-05-20","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3402&type=unsafefood"
"日本","蜜柑(ORANGE(MIKAN) 6.475K/CTN)","殘留農藥含量不符規定","尚農實業有限公司","新北市中和區景平路722號11樓","0805.20.10.10.9","檢出殘留農藥脫芬瑞0.13 ppm、撲滅寧0.07 ppm","依據「殘留農藥安全容許量標準」，農藥脫芬瑞限值為0.01 ppm、撲滅寧限值0.05 ppm，本案不符合食品安全衛生管理法第15條規定。","FUKUOKA AGRICULTURAL","佐賀","FUKUOKA AGRICULTURAL","83.8","案內不符合商品依規定退運或銷毀。","2014-07-22","2014-06-27","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3403&type=unsafefood"
"美國","鮮紅櫻桃(FRESH CHERRIES)","殘留農藥含量不符規定","馥威企業股份有限公司","新北市板橋區雙十路二段47巷14號1樓","0809.29.00.00.0","檢出殘留農藥芬普尼0.012 ppm","依據「殘留農藥安全容許量標準」，農藥芬普尼容限值為0.001 ppm，本案不符合食品安全衛生管理法第15條規定。","AGRIMAX INTERNATIONAL LLC","USWAS","AGRIMAX INTERNATIONAL LLC","2,613","案內不符合商品依規定退運或銷毀。","2014-07-22","2014-06-26","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3404&type=unsafefood"
"美國","鮮紅櫻桃(FRESH CHERRIES)","殘留農藥含量不符規定","馥威企業股份有限公司","新北市板橋區雙十路二段47巷14號1樓","0809.29.00.00.0","檢出殘留農藥芬普尼0.003 ppm","依據「殘留農藥安全容許量標準」，農藥芬普尼容限值為0.001 ppm，本案不符合食品安全衛生管理法第15條規定。","AGRIMAX INTERNATIONAL LLC","USWAS","AGRIMAX INTERNATIONAL LLC","2,613","案內不符合商品依規定退運或銷毀。","2014-07-22","2014-06-26","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3405&type=unsafefood"
"馬紹爾群島","其他未燻製蟹類，冷凍(OTHER CRABS, NOT SMOKED, FROZEN)","重金屬含量不符規定","拓荒國際有限公司","臺北市士林區大南路415號3樓","0306.14.29.90-3","檢出鎘77.4 ppm","依據「水產動物類衛生標準」，甲殼類鎘限量為0.5 ppm，本案不符合食品安全衛生管理法第17條規定。","OPULENCE MULTI-METALS TRADING INC.","","","317","案內不符合商品依規定退運或銷毀。","2014-07-22","2014-06-23","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3406&type=unsafefood"
"印尼","蒜味脆片(生)(JAHVA CRACKERS)","甜味劑含量不符規定","北岸有限公司","台北市大同區重慶北路三段338號7樓","1905.90.90.00.6","檢出甜味劑糖精0.02 g/kg、環己基(代)磺醯胺酸0.65 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用食品範圍，本案不符合食品安全衛生管理法第18條規定。","PT.INTRADITA PROSIMPEX","","JAHVA","250","案內不符合商品依規定退運或銷毀。","2014-07-22","2014-06-20","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3407&type=unsafefood"
"美國","蘿美(FRESH ROMAINE HEART (LETTUCE) N.W: 26 LBR/CTN)","殘留農藥含量不符規定","三崧貿易有限公司","新北市中和區橋安街41號4樓","0705.19.00.00.7","檢出殘留農藥滅芬諾0.05 ppm","依據「殘留農藥安全容許量標準」，農藥滅芬諾限值為0.02 ppm，本案不符合食品安全衛生管理法第15條規定。","SACA TRADING","USMZY","TANIMURA & ANTLE","9,435","案內不符合商品依規定退運或銷毀。","2014-07-22","2014-06-18","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3408&type=unsafefood"
