類別,中文品名,英文品名,使用食品範圍及限量,使用限制,規格,類別說明
"(十) 香料","香茅醇","Citronellol","本品可於各類食品中視實際需要適量使用","限用為香料。","https://consumer.fda.gov.tw/Files/FoodAdditives/559\10046香茅醇Citronellol.doc","1.香料含下列成分時，應顯著標示其成分名稱及含量。 2.飲料使用香料含下列成分時，應符合其限量標準。 品名 使用範圍 限量標準(mg/kg) 松蕈酸（Agaric acid） 飲 料 20 蘆薈素(Aloin） 0.10 β- 杜衡精(β- Asarone） 0.10 小檗鹼(Berberine） 0.10 古柯鹼(Cocaine） 不得檢出 香豆素(Coumarin） 2.0 總氫氰酸(Total Hydrocyanic Acid） 1.0 海棠素(Hypericine） 0.10 蒲勒酮(Pulegone） 100 苦木素(Quassine） 5 奎寧(Quinine） 85 黃樟素(Safrole） 1.0 山道年(Santonin） 0.10 (艸守)酮（α與β）(Thujones，αandβ） 0.5"
"(十) 香料","香茅醛","Citronellal","本品可於各類食品中視實際需要適量使用","限用為香料。","https://consumer.fda.gov.tw/Files/FoodAdditives/560\10047香茅醛Citronellal.doc","1.香料含下列成分時，應顯著標示其成分名稱及含量。 2.飲料使用香料含下列成分時，應符合其限量標準。 品名 使用範圍 限量標準(mg/kg) 松蕈酸（Agaric acid） 飲 料 20 蘆薈素(Aloin） 0.10 β- 杜衡精(β- Asarone） 0.10 小檗鹼(Berberine） 0.10 古柯鹼(Cocaine） 不得檢出 香豆素(Coumarin） 2.0 總氫氰酸(Total Hydrocyanic Acid） 1.0 海棠素(Hypericine） 0.10 蒲勒酮(Pulegone） 100 苦木素(Quassine） 5 奎寧(Quinine） 85 黃樟素(Safrole） 1.0 山道年(Santonin） 0.10 (艸守)酮（α與β）(Thujones，αandβ） 0.5"
"(一) 防腐劑","去水醋酸","Dehydroacetic Acid","本品可使用於乾酪、乳酪、奶油及人造奶油；用量以Dehydroacetic Acid計為0.5g/kg以下。","","https://consumer.fda.gov.tw/Files/FoodAdditives/6\01006去水醋酸Dehydracetic Acid.doc","1. 罐頭一律禁止使用防腐劑，但因原料加工或製造技術關係，必須加入防腐劑者，應事先申請中央衛生主管機關核准後，始得使用。 2. 同一食品依表列使用範圍規定混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1。 3. 本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 本表所稱之食品名稱定義： 1.「煮熟豆」係指經煮熟調味之豆類，包括豆餡。 2.「海藻醬類」係指以海藻或海苔為原料製成供佐餐用之醬菜。 3.「濃糖果漿」係指由天然果汁或乾果中抽取50％以上，添加入濃厚糖 漿中,其總糖度應在50°Brix 以上，可供稀釋飲用者。 4.「含果汁之碳酸飲料」係指含5％以上天然果汁之碳酸飲料。 5.「罐頭食品」係指在製造過程中，經過脫氣、密封、殺菌等步驟而能防 止外界微生物之再污染且可達到保存目的之食品。 6. 本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(二) 殺菌劑","二氧化氯","Chlorine Dioxide","本品可使用於飲用水及食品用水；用量以殘留有效氯及亞氯酸鹽含量符合飲用水標準為度。","","","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(十) 香料","dl-薄荷腦","dl-Menthol","本品可於各類食品中視實際需要適量使用","限用為香料。","https://consumer.fda.gov.tw/Files/FoodAdditives/583\10070 dl-薄荷腦dl-Menthol.doc","1.香料含下列成分時，應顯著標示其成分名稱及含量。 2.飲料使用香料含下列成分時，應符合其限量標準。 品名 使用範圍 限量標準(mg/kg) 松蕈酸（Agaric acid） 飲 料 20 蘆薈素(Aloin） 0.10 β- 杜衡精(β- Asarone） 0.10 小檗鹼(Berberine） 0.10 古柯鹼(Cocaine） 不得檢出 香豆素(Coumarin） 2.0 總氫氰酸(Total Hydrocyanic Acid） 1.0 海棠素(Hypericine） 0.10 蒲勒酮(Pulegone） 100 苦木素(Quassine） 5 奎寧(Quinine） 85 黃樟素(Safrole） 1.0 山道年(Santonin） 0.10 (艸守)酮（α與β）(Thujones，αandβ） 0.5"
"(一) 防腐劑","己二烯酸","Sorbic Acid","1.本品可使用於魚肉煉製品、肉製品、海膽、魚子醬、花生醬、醬菜類、水分含量25％以上（含25％）之蘿蔔乾、醃漬蔬菜、豆皮豆乾類及乾酪；用量以Sorbic Acid計為2.0g/kg以下。 2.本品可使用於煮熟豆、醬油、味噌、烏魚子、魚貝類乾製品、海藻醬類、豆腐乳、糖漬果實類、脫水水果、糕餅、果醬、果汁、乳酪、奶油、人造奶油、番茄醬、辣椒醬、濃糖果漿、調味糖漿及其他調味醬；用量以Sorbic Acid計為1.0g/kg以下。 3.本品可使用於不含碳酸飲料、碳酸飲料；用量以Sorbic Acid 計為0.5g/kg以下。4.本品可使用於膠囊狀、錠狀食品；用量以Sorbic Acid 計為2.0 g/kg以下。","","https://consumer.fda.gov.tw/Files/FoodAdditives/1\01001已二烯酸Sorbic Acid.doc","1. 罐頭一律禁止使用防腐劑，但因原料加工或製造技術關係，必須加入防腐劑者，應事先申請中央衛生主管機關核准後，始得使用。 2. 同一食品依表列使用範圍規定混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1。 3. 本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 本表所稱之食品名稱定義： 1.「煮熟豆」係指經煮熟調味之豆類，包括豆餡。 2.「海藻醬類」係指以海藻或海苔為原料製成供佐餐用之醬菜。 3.「濃糖果漿」係指由天然果汁或乾果中抽取50％以上，添加入濃厚糖 漿中,其總糖度應在50°Brix 以上，可供稀釋飲用者。 4.「含果汁之碳酸飲料」係指含5％以上天然果汁之碳酸飲料。 5.「罐頭食品」係指在製造過程中，經過脫氣、密封、殺菌等步驟而能防 止外界微生物之再污染且可達到保存目的之食品。 6. 本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(一) 防腐劑","丙酸鈣","Calcium Propionate","本品可使用於麵包及糕餅；用量以Propionic Acid計為2.5g/kg以下。","","https://consumer.fda.gov.tw/Files/FoodAdditives/4\01004丙酸鈣Calcium Propionate.doc","1. 罐頭一律禁止使用防腐劑，但因原料加工或製造技術關係，必須加入防腐劑者，應事先申請中央衛生主管機關核准後，始得使用。 2. 同一食品依表列使用範圍規定混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1。 3. 本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 本表所稱之食品名稱定義： 1.「煮熟豆」係指經煮熟調味之豆類，包括豆餡。 2.「海藻醬類」係指以海藻或海苔為原料製成供佐餐用之醬菜。 3.「濃糖果漿」係指由天然果汁或乾果中抽取50％以上，添加入濃厚糖 漿中,其總糖度應在50°Brix 以上，可供稀釋飲用者。 4.「含果汁之碳酸飲料」係指含5％以上天然果汁之碳酸飲料。 5.「罐頭食品」係指在製造過程中，經過脫氣、密封、殺菌等步驟而能防 止外界微生物之再污染且可達到保存目的之食品。 6. 本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(一) 防腐劑","丙酸鈉","Sodium Propionate","本品可使用於麵包及糕餅；用量以Propionic Acid計為2.5g/kg以下。","","https://consumer.fda.gov.tw/Files/FoodAdditives/5\01005丙酸鈉Sodium Propionate.doc","1. 罐頭一律禁止使用防腐劑，但因原料加工或製造技術關係，必須加入防腐劑者，應事先申請中央衛生主管機關核准後，始得使用。 2. 同一食品依表列使用範圍規定混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1。 3. 本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 本表所稱之食品名稱定義： 1.「煮熟豆」係指經煮熟調味之豆類，包括豆餡。 2.「海藻醬類」係指以海藻或海苔為原料製成供佐餐用之醬菜。 3.「濃糖果漿」係指由天然果汁或乾果中抽取50％以上，添加入濃厚糖 漿中,其總糖度應在50°Brix 以上，可供稀釋飲用者。 4.「含果汁之碳酸飲料」係指含5％以上天然果汁之碳酸飲料。 5.「罐頭食品」係指在製造過程中，經過脫氣、密封、殺菌等步驟而能防 止外界微生物之再污染且可達到保存目的之食品。 6. 本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(一) 防腐劑","己二烯酸鉀","Potassium Sorbate","1.本品可使用於魚肉煉製品、肉製品、海膽、魚子醬、花生醬、 醬菜類、水分含量25％以上（含25％）之蘿蔔乾、醃漬蔬菜、豆皮豆乾類及乾酪；用量Sorbic Acid計為2.0g/kg以下。 2.本品可使用於煮熟豆、醬油、味噌、烏魚子、魚貝類乾製品、海藻醬類、豆腐乳、糖漬果實類、脫水水果、糕餅、果醬、果汁、乳酪、奶油、人造奶油、番茄醬、辣椒醬、濃糖果漿、調味糖漿及其他調味醬；用量以Sorbic Acid計為1.0g/kg以下。 3.本品可使用於不含碳酸飲料、碳酸飲料；用量以Sorbic Acid 計為0.5g/kg以下。 4.本品可使用於膠囊狀、錠狀食品；用量以Sorbic Acid 計為2.0 g/kg以下。","","https://consumer.fda.gov.tw/Files/FoodAdditives/2\01002已二烯酸鉀Potassium Sorbate.doc","1. 罐頭一律禁止使用防腐劑，但因原料加工或製造技術關係，必須加入防腐劑者，應事先申請中央衛生主管機關核准後，始得使用。 2. 同一食品依表列使用範圍規定混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1。 3. 本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 本表所稱之食品名稱定義： 1.「煮熟豆」係指經煮熟調味之豆類，包括豆餡。 2.「海藻醬類」係指以海藻或海苔為原料製成供佐餐用之醬菜。 3.「濃糖果漿」係指由天然果汁或乾果中抽取50％以上，添加入濃厚糖 漿中,其總糖度應在50°Brix 以上，可供稀釋飲用者。 4.「含果汁之碳酸飲料」係指含5％以上天然果汁之碳酸飲料。 5.「罐頭食品」係指在製造過程中，經過脫氣、密封、殺菌等步驟而能防 止外界微生物之再污染且可達到保存目的之食品。 6. 本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(一) 防腐劑","己二烯酸鈉","Sodium Sorbate","1.本品可使用於魚肉煉製品、肉製品、海膽、魚子醬、花生醬、醬菜類、水分含量25％以上（含25％）之蘿蔔乾、醃漬蔬菜、豆皮豆乾類及乾酪；用量以Sorbic Acid計為2.0g/kg以下。 2.本品可使用於煮熱豆、醬油、味噌、烏魚子、魚貝類乾製品、海藻醬類、豆腐乳、糖漬果實類、脫水水果、糕餅、果醬、果汁、乳酪、奶油、人造奶油、番茄醬、辣椒醬、濃糖果漿、調味糖漿及其他調味醬；用量以Sorbic Acid計為1.0g/kg以下。 3.本品可使用於不含碳酸飲料、碳酸飲料；用量以Sorbic Acid 計為0.5g/kg以下。 4.本品可使用於膠囊狀、錠狀食品；用量以Sorbic Acid 計為2.0 g/kg以下。","","https://consumer.fda.gov.tw/Files/FoodAdditives/3\01003已二烯酸鈉Sodium Sorbate.doc","1. 罐頭一律禁止使用防腐劑，但因原料加工或製造技術關係，必須加入防腐劑者，應事先申請中央衛生主管機關核准後，始得使用。 2. 同一食品依表列使用範圍規定混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1。 3. 本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 本表所稱之食品名稱定義： 1.「煮熟豆」係指經煮熟調味之豆類，包括豆餡。 2.「海藻醬類」係指以海藻或海苔為原料製成供佐餐用之醬菜。 3.「濃糖果漿」係指由天然果汁或乾果中抽取50％以上，添加入濃厚糖 漿中,其總糖度應在50°Brix 以上，可供稀釋飲用者。 4.「含果汁之碳酸飲料」係指含5％以上天然果汁之碳酸飲料。 5.「罐頭食品」係指在製造過程中，經過脫氣、密封、殺菌等步驟而能防 止外界微生物之再污染且可達到保存目的之食品。 6. 本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(一) 防腐劑","去水醋酸鈉","Sodium Dehydroacetate","本品可使用於乾酪、乳酪、奶油及人造奶油；用量以Dehydroacetic Acid計為0.5g/kg以下。","","https://consumer.fda.gov.tw/Files/FoodAdditives/7\01007去水醋酸鈉Sodium Dehydroacetate.doc","1. 罐頭一律禁止使用防腐劑，但因原料加工或製造技術關係，必須加入防腐劑者，應事先申請中央衛生主管機關核准後，始得使用。 2. 同一食品依表列使用範圍規定混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1。 3. 本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 本表所稱之食品名稱定義： 1.「煮熟豆」係指經煮熟調味之豆類，包括豆餡。 2.「海藻醬類」係指以海藻或海苔為原料製成供佐餐用之醬菜。 3.「濃糖果漿」係指由天然果汁或乾果中抽取50％以上，添加入濃厚糖 漿中,其總糖度應在50°Brix 以上，可供稀釋飲用者。 4.「含果汁之碳酸飲料」係指含5％以上天然果汁之碳酸飲料。 5.「罐頭食品」係指在製造過程中，經過脫氣、密封、殺菌等步驟而能防 止外界微生物之再污染且可達到保存目的之食品。 6. 本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(一) 防腐劑","聯苯","Biphenyl","本品限用於葡萄柚、檸檬及柑桔外敷之紙張；用量為0.07g/kg以下（以殘留量計）。","","","1. 罐頭一律禁止使用防腐劑，但因原料加工或製造技術關係，必須加入防腐劑者，應事先申請中央衛生主管機關核准後，始得使用。 2. 同一食品依表列使用範圍規定混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1。 3. 本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 本表所稱之食品名稱定義： 1.「煮熟豆」係指經煮熟調味之豆類，包括豆餡。 2.「海藻醬類」係指以海藻或海苔為原料製成供佐餐用之醬菜。 3.「濃糖果漿」係指由天然果汁或乾果中抽取50％以上，添加入濃厚糖 漿中,其總糖度應在50°Brix 以上，可供稀釋飲用者。 4.「含果汁之碳酸飲料」係指含5％以上天然果汁之碳酸飲料。 5.「罐頭食品」係指在製造過程中，經過脫氣、密封、殺菌等步驟而能防 止外界微生物之再污染且可達到保存目的之食品。 6. 本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","焦磷酸鈉","Sodium Pyrophosphate","本品可使用於各類食品；用量以Phosphate計為3g/kg以下。","限於食品製造或加工必須時使用。","","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(一) 防腐劑","苯甲酸","Benzoic Acid","1.本品可使用於魚肉煉製品、肉製品、海膽、魚子醬、花生醬、乾酪、糖漬果實類、脫水水果、水分含量25％以上（含25％）之蘿蔔乾、煮熟豆、味噌、海藻醬類、豆腐乳、糕餅、醬油、果醬、果汁、乳酪、奶油、人造奶油、番茄醬、辣椒醬、濃糖果漿、調味糖漿及其他調味醬；用量以Benzoic Acid計為1.0g/kg以下。2.本品可使用於烏魚子、魚貝類乾製品、碳酸飲料、不含碳酸飲料、醬菜類、豆皮豆乾類、醃漬蔬菜；用量以Benzoic Acid為0.6g/kg以下。 3.本品可使用於膠囊狀、錠狀食品；用量以Benzoic Acid計為2.0 g/kg以下。","","https://consumer.fda.gov.tw/Files/FoodAdditives/8\01008苯甲酸Benzoic Acid.doc","1. 罐頭一律禁止使用防腐劑，但因原料加工或製造技術關係，必須加入防腐劑者，應事先申請中央衛生主管機關核准後，始得使用。 2. 同一食品依表列使用範圍規定混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1。 3. 本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 本表所稱之食品名稱定義： 1.「煮熟豆」係指經煮熟調味之豆類，包括豆餡。 2.「海藻醬類」係指以海藻或海苔為原料製成供佐餐用之醬菜。 3.「濃糖果漿」係指由天然果汁或乾果中抽取50％以上，添加入濃厚糖 漿中,其總糖度應在50°Brix 以上，可供稀釋飲用者。 4.「含果汁之碳酸飲料」係指含5％以上天然果汁之碳酸飲料。 5.「罐頭食品」係指在製造過程中，經過脫氣、密封、殺菌等步驟而能防 止外界微生物之再污染且可達到保存目的之食品。 6. 本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(一) 防腐劑","苯甲酸鈉","Sodium Benzoate","1.本品可使用於魚肉煉製品、肉製品、海膽、魚子醬、花生醬、乾酪、糖漬果實類、脫水水果、水分含量25％以上（含25％）之蘿蔔乾、煮熟豆、味噌、海藻醬類、豆腐乳、糕餅、醬油、果醬、果汁、乳酪、奶油、人造奶油、番茄醬、辣椒醬、濃糖果漿、調味糖漿及其他調味醬；用量以Benzoic Acid計為1.0g/kg以下。2.本品可使用於烏魚子、魚貝類乾製品、碳酸飲料、不含碳酸飲料、醬菜類、豆皮豆乾類、醃漬蔬菜；用量以Benzoic Acid為0.6g/kg以下。3.本品可使用於膠囊狀、錠狀食品；用量以Benzoic Acid計為2.0 g/kg以下。","","https://consumer.fda.gov.tw/Files/FoodAdditives/9\01009苯甲酸鈉Sodium Benzoate.doc","1. 罐頭一律禁止使用防腐劑，但因原料加工或製造技術關係，必須加入防腐劑者，應事先申請中央衛生主管機關核准後，始得使用。 2. 同一食品依表列使用範圍規定混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1。 3. 本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 本表所稱之食品名稱定義： 1.「煮熟豆」係指經煮熟調味之豆類，包括豆餡。 2.「海藻醬類」係指以海藻或海苔為原料製成供佐餐用之醬菜。 3.「濃糖果漿」係指由天然果汁或乾果中抽取50％以上，添加入濃厚糖 漿中,其總糖度應在50°Brix 以上，可供稀釋飲用者。 4.「含果汁之碳酸飲料」係指含5％以上天然果汁之碳酸飲料。 5.「罐頭食品」係指在製造過程中，經過脫氣、密封、殺菌等步驟而能防 止外界微生物之再污染且可達到保存目的之食品。 6. 本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(一) 防腐劑","乳酸鏈球菌素","Nisin","本品可使用於乾酪及其加工製品；用量為0.25g/ kg以下。","","https://consumer.fda.gov.tw/Files/FoodAdditives/19\01019乳酸鏈球菌素Nisin.doc","1. 罐頭一律禁止使用防腐劑，但因原料加工或製造技術關係，必須加入防腐劑者，應事先申請中央衛生主管機關核准後，始得使用。 2. 同一食品依表列使用範圍規定混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1。 3. 本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 本表所稱之食品名稱定義： 1.「煮熟豆」係指經煮熟調味之豆類，包括豆餡。 2.「海藻醬類」係指以海藻或海苔為原料製成供佐餐用之醬菜。 3.「濃糖果漿」係指由天然果汁或乾果中抽取50％以上，添加入濃厚糖 漿中,其總糖度應在50°Brix 以上，可供稀釋飲用者。 4.「含果汁之碳酸飲料」係指含5％以上天然果汁之碳酸飲料。 5.「罐頭食品」係指在製造過程中，經過脫氣、密封、殺菌等步驟而能防 止外界微生物之再污染且可達到保存目的之食品。 6. 本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(一) 防腐劑","雙十二烷基硫酸硫胺明（雙十二烷基硫酸噻胺）","ThiamineDilaurylsulfate","本品可使用於醬油；用量以 Laurylsulfate計為0.01 g/kg以下。","限用為防腐劑","https://consumer.fda.gov.tw/Files/FoodAdditives/20\01020雙十二烷基硫酸硫胺明Thiamine Dilaurylsulfate.doc","1. 罐頭一律禁止使用防腐劑，但因原料加工或製造技術關係，必須加入防腐劑者，應事先申請中央衛生主管機關核准後，始得使用。 2. 同一食品依表列使用範圍規定混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1。 3. 本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 本表所稱之食品名稱定義： 1.「煮熟豆」係指經煮熟調味之豆類，包括豆餡。 2.「海藻醬類」係指以海藻或海苔為原料製成供佐餐用之醬菜。 3.「濃糖果漿」係指由天然果汁或乾果中抽取50％以上，添加入濃厚糖 漿中,其總糖度應在50°Brix 以上，可供稀釋飲用者。 4.「含果汁之碳酸飲料」係指含5％以上天然果汁之碳酸飲料。 5.「罐頭食品」係指在製造過程中，經過脫氣、密封、殺菌等步驟而能防 止外界微生物之再污染且可達到保存目的之食品。 6. 本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(十) 香料","香葉草醇","Geraniol","本品可於各類食品中視實際需要適量使用","限用為香料。","https://consumer.fda.gov.tw/Files/FoodAdditives/561\10048香葉草醇Geraniol.doc","1.香料含下列成分時，應顯著標示其成分名稱及含量。 2.飲料使用香料含下列成分時，應符合其限量標準。 品名 使用範圍 限量標準(mg/kg) 松蕈酸（Agaric acid） 飲 料 20 蘆薈素(Aloin） 0.10 β- 杜衡精(β- Asarone） 0.10 小檗鹼(Berberine） 0.10 古柯鹼(Cocaine） 不得檢出 香豆素(Coumarin） 2.0 總氫氰酸(Total Hydrocyanic Acid） 1.0 海棠素(Hypericine） 0.10 蒲勒酮(Pulegone） 100 苦木素(Quassine） 5 奎寧(Quinine） 85 黃樟素(Safrole） 1.0 山道年(Santonin） 0.10 (艸守)酮（α與β）(Thujones，αandβ） 0.5"
"(一) 防腐劑","對羥苯甲酸乙酯","Ethylp-Hydroxybenzoate","1.本品可使用於豆皮豆乾類及醬油；用量以p-Hydroxybenzoic Acid計為0.25g/kg以下。 2.本品可使用於醋及不含碳酸飲料；用量以p-Hydroxybenzoic Acid計為0.10g/kg以下。 3.本品可使用於鮮果及果菜之外皮；用量以p-Hydroxybenzoic Acid計為0.012g/kg以下。","","https://consumer.fda.gov.tw/Files/FoodAdditives/10\01010對羥苯甲酸乙酯Ethyl p-Hydroxybenzoate.doc","1. 罐頭一律禁止使用防腐劑，但因原料加工或製造技術關係，必須加入防腐劑者，應事先申請中央衛生主管機關核准後，始得使用。 2. 同一食品依表列使用範圍規定混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1。 3. 本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 本表所稱之食品名稱定義： 1.「煮熟豆」係指經煮熟調味之豆類，包括豆餡。 2.「海藻醬類」係指以海藻或海苔為原料製成供佐餐用之醬菜。 3.「濃糖果漿」係指由天然果汁或乾果中抽取50％以上，添加入濃厚糖 漿中,其總糖度應在50°Brix 以上，可供稀釋飲用者。 4.「含果汁之碳酸飲料」係指含5％以上天然果汁之碳酸飲料。 5.「罐頭食品」係指在製造過程中，經過脫氣、密封、殺菌等步驟而能防 止外界微生物之再污染且可達到保存目的之食品。 6. 本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(一) 防腐劑","對羥苯甲酸丙酯","Propyl p-Hydroxybenzoate","1.本品可使用於豆皮豆乾類及醬油；用量以p-Hydroxybenzoic Acid 計為0.25g/kg以下。 2.本品可使用於醋及不含碳酸飲料；用量以p-Hydroxybenzoic Acid計為0.10g/kg以下。 3.本品可使用於鮮果及果菜之外皮；用量以p-Hydroxybenzoic Acid計為0.012g/kg以下。","","https://consumer.fda.gov.tw/Files/FoodAdditives/11\01011對羥苯甲酸丙酯Propyl p-Hydroxybenzoate.doc","1. 罐頭一律禁止使用防腐劑，但因原料加工或製造技術關係，必須加入防腐劑者，應事先申請中央衛生主管機關核准後，始得使用。 2. 同一食品依表列使用範圍規定混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1。 3. 本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 本表所稱之食品名稱定義： 1.「煮熟豆」係指經煮熟調味之豆類，包括豆餡。 2.「海藻醬類」係指以海藻或海苔為原料製成供佐餐用之醬菜。 3.「濃糖果漿」係指由天然果汁或乾果中抽取50％以上，添加入濃厚糖 漿中,其總糖度應在50°Brix 以上，可供稀釋飲用者。 4.「含果汁之碳酸飲料」係指含5％以上天然果汁之碳酸飲料。 5.「罐頭食品」係指在製造過程中，經過脫氣、密封、殺菌等步驟而能防 止外界微生物之再污染且可達到保存目的之食品。 6. 本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(一) 防腐劑","丙酸","Propionic Acid","本品可使用於麵包及糕餅；用量以Propionic Acid計為2.5g/kg以下。","","https://consumer.fda.gov.tw/Files/FoodAdditives/21\01021丙酸Propionic Acid.doc","1. 罐頭一律禁止使用防腐劑，但因原料加工或製造技術關係，必須加入防腐劑者，應事先申請中央衛生主管機關核准後，始得使用。 2. 同一食品依表列使用範圍規定混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1。 3. 本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 本表所稱之食品名稱定義： 1.「煮熟豆」係指經煮熟調味之豆類，包括豆餡。 2.「海藻醬類」係指以海藻或海苔為原料製成供佐餐用之醬菜。 3.「濃糖果漿」係指由天然果汁或乾果中抽取50％以上，添加入濃厚糖 漿中,其總糖度應在50°Brix 以上，可供稀釋飲用者。 4.「含果汁之碳酸飲料」係指含5％以上天然果汁之碳酸飲料。 5.「罐頭食品」係指在製造過程中，經過脫氣、密封、殺菌等步驟而能防 止外界微生物之再污染且可達到保存目的之食品。 6. 本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(一) 防腐劑","鏈黴菌素","Natamycin(Pimaricin)","本品可使用於乾酪及經醃漬、乾燥而未加熱處理之加工禽畜肉製品；用量在20 mg/kg 以下。","","https://consumer.fda.gov.tw/Files/FoodAdditives/22\01022鏈黴菌素Natamycin.doc","1. 罐頭一律禁止使用防腐劑，但因原料加工或製造技術關係，必須加入防腐劑者，應事先申請中央衛生主管機關核准後，始得使用。 2. 同一食品依表列使用範圍規定混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1。 3. 本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 本表所稱之食品名稱定義： 1.「煮熟豆」係指經煮熟調味之豆類，包括豆餡。 2.「海藻醬類」係指以海藻或海苔為原料製成供佐餐用之醬菜。 3.「濃糖果漿」係指由天然果汁或乾果中抽取50％以上，添加入濃厚糖 漿中,其總糖度應在50°Brix 以上，可供稀釋飲用者。 4.「含果汁之碳酸飲料」係指含5％以上天然果汁之碳酸飲料。 5.「罐頭食品」係指在製造過程中，經過脫氣、密封、殺菌等步驟而能防 止外界微生物之再污染且可達到保存目的之食品。 6. 本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
