許可證字號,中文品名,英文品名,有效日期,申請商名稱,發證日期,申請商電話,劑型,用途,簽審文件,製造廠國別,成分,申請商地址,包裝量及單位
"衛署添輸字 009648","甜菊醣苷","STEVIOL GLYCOSIDE","2022-07-25","育盟股份有限公司","2012-07-25","02-23415137","粉劑","甜味劑","DHB0C009648009","中國大陸","STEVIOL GLYCOSIDE","","1.00000公斤;10.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤"
"衛署添製字 001427","甜味皇A複方食品添加物　　　　　　　　　　　　　　　　","SUPER SWEET A","2019-01-18","盛源食品原料股份有限公司","1999-01-18","02-23699828","結晶性粉末","調味劑","","","ASPARTAME;;ACESULFAME POTASSIUM","",""
"衛署添製字 000167","保力能 B 複方食品添加物　　　　　　　　　　　　　　　　　　","PORYRIN B","2021-01-07","盛源食品原料股份有限公司","1981-01-07","02-23699828","粉劑","品質改良用、釀造用及食品製造用劑","","","SODIUM POLYPHOSPHATE(SODIUM TRIPOLYPHOSPHAT;;SODIUM PYROPHOSPHATE, ANHYDROUS","",""
"衛部添製字 002403","碳酸氫鈉","SODIUM BICARBONATE","2019-07-16","盛源食品原料股份有限公司","2014-07-16","02-23699828","結晶性粉末","膨脹劑","","","SODIUM BICARBONATE","","1.00000公斤;20.00000公斤;25.00000公斤"
"衛署添製字 000786","Ｌ－麩酸鈉　　　　　　　　　　　　　　　　　　　　　","MONOSODIUM L-GLUTAMATE","2020-02-11","盛源食品原料股份有限公司","1990-02-11","02-23699828","結晶性粉末","調味劑","","","MONOSODIUM L-GLUTAMATE","","20.00000公斤;25.00000公斤"
"衛署添製字 000545","保凍-N 複方食品添加物　　　　　　　　　　　　　　　　　　","PORTON N","2021-12-21","盛源食品原料股份有限公司","1986-12-21","02-23699828","粉劑","結著劑;;品質改良用、釀造用及食品製造用劑","","","SODIUM POLYPHOSPHATE(SODIUM TRIPOLYPHOSPHAT;;SODIUM PYROPHOSPHATE, ANHYDROUS;;SODIUM POLYPHOSPHATE (SODIUM HEXAMETAPHOSPHATE)","","25.00000公斤"
"衛署添製字 000762","去水醋酸鈉　　　　　　　　　　　　　　　　　　　　　","SODIUM DEHYDROACETATE","2019-12-01","盛源食品原料股份有限公司","1989-12-01","02-23699828","","防腐劑","","","","",""
"衛署添製字 000787","檸檬酸　　　　　　　　　　　　　　　　　　　　　　　","CITRIC ACID","2020-02-11","盛源食品原料股份有限公司","1990-02-11","02-23699828","結晶性粉末","調味劑","","","CITRIC ACID","","20.00000公斤;1.00000磅;60.00000磅;1.00000公斤;25.00000公斤"
"衛署添製字 001391","力白 1 號複方食品添加物　　　　　　　　　　　　　　　　　　　　　　　　","LIH-BAI NO.1","2018-05-22","盛源食品原料股份有限公司","1998-05-22","02-23699828","粉劑","品質改良用、釀造用及食品製造用劑","","","CALCIUM CARBONATE;;CALCIUM PHOSPHATE, TRIBASIC","",""
"衛署添製字 001417","醋磺內酯鉀　　　　　　　　　　　　　　　　　　　　　","ACESULFAME POTASSIUM","2018-11-05","盛源食品原料股份有限公司","1998-11-05","02-23699828","結晶性粉末","甜味劑","","","ACESULFAME POTASSIUM","","1.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;50.00000公斤"
"衛署添製字 001247","保力能 C 複方食品添加物　　　　　　　　　　　　　　　　　　　","SODIUM POLYPHOSPHATE (SODIUM HEXAMETAPHOSPHATE)","2021-07-17","盛源食品原料股份有限公司","1996-07-17","02-23699828","結晶性粉末","品質改良用、釀造用及食品製造用劑","","","SODIUM PHOSPHATE, MONOBASIC, ANHYDROUS;;SODIUM POLYPHOSPHATE(SODIUM HEXAMETAPHOSPHATE);;SODIUM POLYPHOSPHATE(SODIUM TRIPOLYPHOSPHAT","",""
"衛部添輸字 010469","谷氨醯胺轉氨酶10%","TRANSGLUTAMINASE (TG-K)","2019-02-14","育盟股份有限公司","2014-02-14","02-23415137","粉劑","酵素製劑","DHB0M010469001","中國大陸","MALTODEXTRIN;;SODIUM CASEINATE;;TRANSGLUTAMINASE","","1.00000公斤;1.00000公斤;5.00000公斤;25.00000公斤;25.00000公斤;5.00000公斤"
"衛部添輸字 011206","丙酸","PROPIONIC ACID","2020-04-16","華祥理化工業股份有限公司","2015-04-16","07-2513368","液劑","防腐劑","DHB0M011206003","美國","PROPIONIC ACID","","20.00000公噸;200.00000公斤"
"衛部添輸字 011063","矽藻土","DIATOMACEOUS EARTH (CELITE®KENITE 700 )","2019-12-19","恒洲實業股份有限公司","2014-12-19","02-7012121","粉劑","品質改良用、釀造用及食品製造用劑;;其他","DHB0M011063008","美國","DIATOMACEOUS EARTH","","22.70000公斤"
"衛部添輸字 011887","L-蛋胺酸","L-METHIONINE","2021-10-21","碩氨貿易有限公司","2016-10-21","07-3315328","結晶性粉末","營養添加劑","DHB0M011887003","中國大陸","L-METHIONINE","","25.00000公斤;1.00000公斤"
"衛部添輸字 011892","碳酸氫銨製劑","AMMONIUM BICARBONATE COATED","2021-10-20","渥奇企業有限公司","2016-10-20","02-8351606","結晶性粉末","膨脹劑","DHB0M011892005","挪威","AMMONIUM BICARBONATE;;MAGNESIUM CARBONATE","","25.00000公斤"
"衛部添輸字 012178","L-白胺酸","L-LEUCINE","2022-06-30","碩氨貿易有限公司","2017-06-30","07-3315328","結晶性粉末","營養添加劑","DHB0M012178002","中國大陸","L-LEUCINE","","25.00000公斤;5.00000公斤;1.00000公斤"
"衛署添輸字 009357","磷酸二澱粉","DISTARCH PHOSPHATE (SS-N9OE)","2022-02-07","優質澱粉有限公司","2012-02-15","03-2631234","粉劑","粘稠劑","DHB0C009357008","泰國","DISTARCH PHOSPHATE","","25.00000公斤"
"衛署添輸字 009775","羥丙基澱粉","HYDROXYPROPYL STARCH(ST-360)","2022-10-26","優質澱粉有限公司","2012-10-26","03-2631234","粉劑","粘稠劑","DHB0C009775004","泰國","HYDROXYPROPYL STARCH","","20.00000公斤;25.00000公斤"
"衛署添輸字 009776","磷酸二澱粉","DISTARCH PHOSPHATE(ST-180)","2022-10-26","優質澱粉有限公司","2012-10-26","03-2631234","粉劑","粘稠劑","DHB0C009776007","泰國","DISTARCH PHOSPHATE","","25.00000公斤"
"衛部添輸字 012244","丙二醇","PROPYLENE GLYCOL (USP GRADE)","2022-08-18","逢吉企業有限公司","2017-08-18","03-4206456","液劑","載體","DHB0M012244006","中國大陸","PROPYLENE GLYCOL","","215.00000公斤"
"衛署添輸字 007057","L-天冬胺酸","L-ASPARTIC ACID (BASE)","2018-07-23","統園企業股份有限公司","2003-07-23","02-8839887","結晶性粉末","營養添加劑","DHB0C007057007","中國大陸","L-ASPARTIC ACID","","20.00000公斤;25.00000公斤;25.00000公斤;25.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤"
"衛署添輸字 007105","L- 白胺酸","L-LEUCINE (BASE)","2018-09-25","統園企業股份有限公司","2003-09-25","02-8839887","結晶性粉末","營養添加劑","DHB0C007105002","中國大陸","L-LEUCINE","","25.00000公斤;25.00000公斤;1.00000公斤;3.00000公斤;5.00000公斤;15.00000公斤;20.00000公斤;10.00000公斤"
"衛部添輸字 011250","D-甘露醇","D-MANNITOL","2020-06-03","碩氨貿易有限公司","2015-06-03","07-3315328","結晶性粉末","品質改良用、釀造用及食品製造用劑;;甜味劑","DHB0M011250005","中國大陸","D-MANNITOL","","25.00000公斤;1.00000公斤"
"衛部添輸字 011146","消泡劑","AKASIL ANTIFOAM 30PSF","2020-02-26","環綺國際貿易股份有限公司","2015-02-26","072239188","液劑","消泡劑","DHB0M011146001","馬來西亞","PURIFIED WATER;;SILICON RESIN;;GLYCERIN FATTY ACID ESTER;;POLYOXYETHYLENE(20)SORBITAN MONOSTEARATE;;SILICON DIOXIDE;;SODIUM CARBOXYMETHYL CELLULOSE;;CITRIC ACID","","1.00000公斤"
"衛署添輸字 009961","棕櫚蠟","CARNAUBA WAX (KAHLWAX 2442 P100N)","2018-03-04","億豐國際企業有限公司","2013-03-04","06-5962065","粉劑","品質改良用、釀造用及食品製造用劑","DHB0C009961001","德國","CARNAUBA WAX","","25.00000公斤"
"衛署添輸字 009851","棕櫚蠟","CARNAUBA WAX (KAHLWAX 24402 P 100N)","2017-12-04","億豐國際企業有限公司","2012-12-04","06-5962065","粉劑","品質改良用、釀造用及食品製造用劑","DHB0C009851002","德國","CARNAUBA WAX","","25.00000公斤"
"衛部添輸字 010875","L-酪胺酸","L-TYROSINE","2019-09-09","碩氨貿易有限公司","2014-09-09","07-3315328","結晶性粉末","營養添加劑","DHB0M010875000","中國大陸","L-TYROSINE","","25.00000公斤;1.00000公斤"
"衛部添輸字 010925","L-胱胺酸","L-CYSTINE","2019-10-07","碩氨貿易有限公司","2014-10-07","07-3315328","結晶","營養添加劑","DHB0M010925001","中國大陸","L-CYSTINE","","20.00000公斤;25.00000公斤;1.00000公斤"
"衛部添輸字 012287","硫酸鎂","MAGNESIUM SULFATE","2022-09-19","碩氨貿易有限公司","2017-09-19","07-3315328","粉劑","品質改良用、釀造用及食品製造用劑;;營養添加劑","DHB0M012287005","中國大陸","MAGNESIUM SULFATE","","25.00000公斤"
"衛部添輸字 012286","硫酸鎂","MAGNESIUM SULFATE","2022-09-19","碩氨貿易有限公司","2017-09-19","07-3315328","結晶","品質改良用、釀造用及食品製造用劑;;營養添加劑","DHB0M012286002","中國大陸","MAGNESIUM SULFATE","","25.00000公斤"
"衛部添輸字 010806","L-精胺酸","L-ARGININE","2019-08-01","碩氨貿易有限公司","2014-08-01","07-3315328","結晶性粉末","營養添加劑","DHB0M010806001","中國大陸","L-ARGININE","","25.00000公斤;1.00000公斤"
"衛部添輸字 010762","鹽酸L-組織胺酸","L-HISTIDINE MONOHYDROCHLORIDE","2019-07-14","碩氨貿易有限公司","2014-07-14","07-3315328","結晶性粉末","營養添加劑","DHB0M010762008","中國大陸","L-HISTIDINE MONOHYDROCHLORIDE","","25.00000公斤;1.00000公斤"
"衛部添輸字 012162","脂肪酸聚合甘油酯","POLYGLYCEROL ESTERS OF FATTY ACIDS (HABO PGE-C)","2022-06-03","鉑睿實業有限公司","2017-06-03","02-89923555","粉劑","乳化劑","DHB0M012162003","新加坡","POLYGLYCEROL ESTERS OF FATTY ACIDS","","5.00000公斤;10.00000公斤;20.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;1.00000公斤"
"衛部添輸字 011906","脂肪酸蔗糖酯","SUCROSE FATTY ACID ESTER (HABO SUCROSE ESTER SE-70)","2021-11-01","鉑睿實業有限公司","2016-11-01","02-89923555","粉劑","乳化劑","DHB0M011906002","新加坡","SUCROSE FATTY ACID ESTER","","5.00000公斤;10.00000公斤;25.00000公斤;200.00000公克;500.00000公克;1.00000公斤"
"衛部添輸字 011913","脂肪酸蔗糖酯","SUCROSE FATTY ACID ESTER (HABO SUCROSE ESTER SE-150)","2021-11-03","鉑睿實業有限公司","2016-11-03","02-89923555","粉劑","乳化劑","DHB0M011913007","新加坡","SUCROSE FATTY ACID ESTER","","200.00000公克;500.00000公克;1.00000公斤;5.00000公斤;10.00000公斤;25.00000公斤"
"衛部添輸字 011912","脂肪酸蔗糖酯","SUCROSE FATTY ACID ESTER (HABO SUCROSE ESTER SE-110)","2021-11-03","鉑睿實業有限公司","2016-11-03","02-89923555","粉劑","乳化劑","DHB0M011912004","新加坡","SUCROSE FATTY ACID ESTER","","200.00000公克;500.00000公克;1.00000公斤;5.00000公斤;10.00000公斤;25.00000公斤"
"衛部添輸字 011907","脂肪酸蔗糖酯","SUCROSE FATTY ACID ESTER (HABO SUCROSE ESTER SE-50)","2021-11-01","鉑睿實業有限公司","2016-11-01","02-89923555","粉劑","乳化劑","DHB0M011907002","新加坡","SUCROSE FATTY ACID ESTER","","200.00000公克;500.00000公克;1.00000公斤;5.00000公斤;10.00000公斤;25.00000公斤"
"衛部添輸字 011856","脂肪酸蔗糖酯","SUCROSE FATTY ACID ESTER (HABO MONOESTER P90)","2021-09-28","鉑睿實業有限公司","2016-09-28","02-89923555","粉劑","乳化劑","DHB0M011856001","新加坡","SUCROSE FATTY ACID ESTER","","200.00000公克;500.00000公克;1.00000公斤;5.00000公斤;10.00000公斤"
"衛部添製字 002550","甜菊醣苷","STEVIOL GLYCOSIDE","2020-03-16","振誠貿易股份有限公司","2015-03-16","02-23690989","粉劑","甜味劑","","","STEVIOL GLYCOSIDE","","10.00000公斤;0.50000公斤;1.00000公斤;3.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;21.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;50.00000公斤;30.00000公斤;0.50000公斤;9.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;30.00000公斤;0.10000公斤;2.00000公斤;6.00000公斤;2.00000公斤;10.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;5.00000公斤;12.00000公斤"
"衛部添製字 002500","多磷酸鈉","SODIUM POLYPHOSPHATE(512)","2020-01-22","振誠貿易股份有限公司","2015-01-22","02-23690989","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑","","","SODIUM POLYPHOSPHATE","","0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.10000公斤;0.50000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;1.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;21.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字 002545","海藻酸鈉","SODIUM ALGINATE","2020-03-16","振誠貿易股份有限公司","2015-03-16","02-23690989","粉劑","粘稠劑","","","SODIUM ALGINATE","","0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.10000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;21.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;25.00000公斤;30.00000公斤;50.00000公斤"
"衛部添製字 002546","無水氯化鈣","CALCIUM CHLORIDE, ANHYDROUS","2020-03-16","振誠貿易股份有限公司","2015-03-16","02-23690989","顆粒劑","品質改良用、釀造用及食品製造用劑;;營養添加劑","","","CALCIUM CHLORIDE, ANHYDROUS","","0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.10000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;21.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤"
"衛部添製字 002537","阿斯巴甜","ASPARTAME","2020-03-16","振誠貿易股份有限公司","2015-03-16","02-23690989","結晶性粉末","甜味劑","","","ASPARTAME","","20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;21.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;25.00000公斤;30.00000公斤;0.10000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤"
"衛部添製字 002504","己二烯酸鉀","POTASSIUM SORBATE","2020-01-28","振誠貿易股份有限公司","2015-01-28","02-23690989","粒狀","防腐劑","","","POTASSIUM SORBATE","","15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.10000公斤;0.50000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;1.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;0.50000公斤;25.00000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;21.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;25.00000公斤;12.00000公斤"
"衛部添輸字 010326","焦磷酸鈉 (無水)","SODIUM PYROPHOSPHATE,ANHYDROUS","2018-10-23","韋伯國際貿易有限公司","2013-10-23","02-23699828","結晶性粉末","品質改良用、釀造用及食品製造用劑;;結著劑","DHB0M010326000","中國大陸","SODIUM PYROPHOSPHATE, ANHYDROUS","","1.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛署添輸字 00933701","海藻酸鈉","SODIUM ALGINATE","2021-12-29","韋伯國際貿易有限公司","2013-09-10","02-23699828","粉劑","粘稠劑","DHB0C009337011","中國大陸","SODIUM ALGINATE","","25.00000公斤"
"衛部添輸字 011618","生育醇 (維生素E)","DL-α-TOCOPHEROL (VITAMIN E)","2021-03-08","鉑睿實業有限公司","2016-03-08","02-89923555","油狀物","抗氧化劑;;營養添加劑","DHB0M011618007","中國大陸","DL-α-TOCOPHEROL","","15.00000公斤"
"衛部添輸字 011619","醋酸 DL-α-生育醇酯(維生素E)","DL-α-TOCOPHERYL ACETATE (VITAMIN E)","2021-03-08","鉑睿實業有限公司","2016-03-08","02-89923555","油狀物","營養添加劑","DHB0M011619000","中國大陸","DL-α-TOCOPHERYL ACETATE","","15.00000公斤;5.00000公斤;50.00000公斤"
"衛署添輸字 009568","葡萄糖酸鈣","CALCIUM GLUCONATE","2022-06-01","美隆貿易股份有限公司","2012-06-01","06-2619348","結晶性粉末","品質改良用、釀造用及食品製造用劑;;營養添加劑","DHB0C009568002","中國大陸","CALCIUM GLUCONATE","","25.00000公斤;5.00000公斤;1.00000公斤"
"衛署添輸字 009569","葡萄糖酸鈉","SODIUM GLUCONATE","2022-06-01","美隆貿易股份有限公司","2012-06-01","06-2619348","粒狀","調味劑","DHB0C009569002","中國大陸","SODIUM GLUCONATE","","25.00000公斤;5.00000公斤;1.00000公斤;25.00000公斤"
"衛部添輸字 011122","多磷酸鈉","SODIUM POLYPHOSPHATE (SODIUM TRIPOLYPHOSPHATE, STPP 20G)","2020-02-13","恆新股份有限公司","2015-02-13","02-5418641","微細顆粒","品質改良用、釀造用及食品製造用劑;;結著劑","DHB0M011122007","加拿大","SODIUM POLYPHOSPHATE","","25.00000公斤"
"衛署添輸字 00902601","多丙烯酸鈉","SODIUM POLYACRYLATE","2021-07-28","韋伯國際貿易有限公司","2013-09-25","02-23699828","粉劑","粘稠劑","DHB0C009026015","中國大陸","SODIUM POLYACRYLATE","","1.00000公斤;20.00000公斤;25.00000公斤"
"衛部添輸字 011641","維生素 E 粉末 50% CWS/S","VITAMIN E ACETATE 50% CWS/S","2021-04-08","鉑睿實業有限公司","2016-04-08","02-89923555","粉劑","營養添加劑;;品質改良用、釀造用及食品製造用劑","DHB0M011641001","中國大陸","DL-α-TOCOPHERYL ACETATE;;STARCH SODIUM OCTENYLSUCCINATE;;SILICON DIOXIDE","","20.00000公斤"
"衛部添輸字 012097","氧化鋅","ZINC OXIDE","2022-03-23","美隆貿易股份有限公司","2017-03-23","06-2619348","粉劑","營養添加劑","DHB0M012097002","中國大陸","ZINC OXIDE","","5.00000公斤;25.00000公斤;25.00000公斤;25.00000公斤"
"衛部添輸字 011501","碳酸鎂","MAGNESIUM CARBONATE","2020-11-18","美隆貿易股份有限公司","2015-11-18","06-2619348","粉劑","品質改良用、釀造用及食品製造用劑;;營養添加劑","DHB0M011501003","中國大陸","MAGNESIUM CARBONATE","","25.00000公斤"
"衛部添輸字 011503","硫酸鎂","MAGNESIUM SULFATE (MAGNESIUM SULFATE HEPTAHYDRATE)","2020-11-22","美隆貿易股份有限公司","2015-11-22","06-2619348","結晶","品質改良用、釀造用及食品製造用劑;;營養添加劑","DHB0M011503009","中國大陸","MAGNESIUM SULFATE","","25.00000公斤"
